"Country","Year","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Individualism","UncertaintyAvoidance","Indulgence","vis_residual"
"China",2016,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,20,30,24,-0.498602602815781
"China",2017,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,20,30,24,-0.59871507300819
"China",2018,5.246,0.989,1.142,0.799,0.597,0.029,0.103,20,30,24,-0.404457638319463
"China",2019,5.191,1.029,1.125,0.893,0.521,0.058,0.1,20,30,24,-0.555483374913606
"Colombia",2015,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,13,80,83,0.995523651652077
"Colombia",2016,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,13,80,83,0.731347775778788
"Colombia",2017,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,13,80,83,0.510596138914782
"Colombia",2018,6.26,0.96,1.439,0.635,0.531,0.099,0.039,13,80,83,0.679161020711288
"Colombia",2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034,13,80,83,0.48414493533995
"Croatia",2015,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,33,80,33,-0.116013823344863
"Croatia",2016,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,33,80,33,-0.636560706318889
"Croatia",2017,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,33,80,33,-0.918142650791302
"Croatia",2018,5.321,1.115,1.161,0.737,0.38,0.12,0.039,33,80,33,-0.63193870859101
"Croatia",2019,5.432,1.155,1.266,0.914,0.296,0.119,0.022,33,80,33,-0.61696444518515
"Czech Republic",2015,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,58,74,29,0.398468125726661
"Czech Republic",2016,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,58,74,29,0.176976372415176
"Czech Republic",2017,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,58,74,29,0.0854709240884013
"Czech Republic",2018,6.711,1.233,1.489,0.854,0.543,0.064,0.034,58,74,29,0.474785368456273
"Czech Republic",2019,6.852,1.269,1.487,0.92,0.457,0.046,0.036,58,74,29,0.529362205521546
"Denmark",2015,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,74,23,70,1.06877386545062
"Denmark",2016,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,74,23,70,0.788579036303151
"Denmark",2017,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,74,23,70,0.687105517037792
"Denmark",2018,7.555,1.351,1.59,0.868,0.683,0.284,0.408,74,23,70,1.03550944550356
"Denmark",2019,7.6,1.383,1.573,0.996,0.592,0.252,0.41,74,23,70,1.00368885622824
"El Salvador",2015,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,19,94,89,1.01839078257856
"El Salvador",2016,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,19,94,89,0.694336547413148
"El Salvador",2017,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,19,94,89,0.542710322681523
"El Salvador",2018,6.167,0.806,1.231,0.639,0.461,0.065,0.082,19,94,89,0.955860106598734
"El Salvador",2019,6.253,0.794,1.242,0.789,0.43,0.093,0.074,19,94,89,1.07066782757698
"Estonia",2015,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,60,60,16,-0.612138347652728
"Estonia",2016,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,60,60,16,-0.831180640412496
"Estonia",2017,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,60,60,16,-0.836181529793697
"Estonia",2018,5.739,1.2,1.532,0.737,0.553,0.086,0.174,60,60,16,-0.41799339885356
"Estonia",2019,5.893,1.237,1.528,0.874,0.495,0.103,0.161,60,60,16,-0.352817205203142
"Finland",2015,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,63,59,57,1.03234853295591
"Finland",2016,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,63,59,57,0.761522070554908
"Finland",2017,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,63,59,57,0.727277125630938
