"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual","Individualism","UncertaintyAvoidance","Indulgence"
"Belarus",5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,2017,"Other",5.90564852915885,-0.336648761855378,NA,NA,15
"Belarus",5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,2016,"Other",5.84936965077525,-0.0473696507752548,NA,NA,15
"Belarus",5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,"Other",5.63521206218483,0.177787937815165,NA,NA,15
"Belgium",6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2017,"WesternEurope",6.57225622765873,0.318743566347615,75,94,57
"Belgium",6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2015,"WesternEurope",6.23385521002776,0.703144789972238,75,94,57
"Belgium",6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2016,"WesternEurope",6.48895660506906,0.440043394930944,75,94,57
"Belgium",6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018,"WesternEurope",6.26896230003174,0.658037699968255,75,94,57
"Belgium",6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,"WesternEurope",6.33839535813603,0.584604641863965,75,94,57
"Brazil",6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018,"LatinAmerica",5.53557562380518,0.883424376194822,38,76,59
"Brazil",6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,"LatinAmerica",5.57463171898884,0.725368281011159,38,76,59
"Brazil",6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2017,"LatinAmerica",5.79888576481339,0.836114464068448,38,76,59
"Brazil",6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,2016,"LatinAmerica",5.75589539630235,1.19610460369765,38,76,59
"Brazil",6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,2015,"LatinAmerica",5.52524745641216,1.45775254358784,38,76,59
"Bulgaria",4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,2016,"Other",5.81126826014053,-1.59426826014053,30,85,16
"Bulgaria",5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,"Other",5.76557262877564,-0.754572628775639,30,85,16
"Bulgaria",4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017,"Other",5.91628378238737,-1.20228355732023,30,85,16
"Bulgaria",4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015,"Other",5.59233714880544,-1.37433714880544,30,85,16
"Bulgaria",4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018,"Other",5.6831208722768,-0.750120872276795,30,85,16
"Burkina Faso",3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015,"Other",3.95623392590046,-0.369233925900464,NA,NA,18
"Burkina Faso",3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,2016,"Other",4.09039161285635,-0.351391612856347,NA,NA,18
"Burkina Faso",4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018,"Other",4.07748140361508,0.346518596384919,NA,NA,18
"Burkina Faso",4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,2017,"Other",4.15608768306277,-0.124087618212917,NA,NA,18
"Burkina Faso",4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,"Other",4.11436771573299,0.472632284267014,NA,NA,18
"Canada",7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2017,"NorthAmerica",6.6057222141963,0.710277770544906,80,48,68
"Canada",7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,"NorthAmerica",6.35792340572787,0.920076594272134,80,48,68
"Canada",7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016,"NorthAmerica",6.52098260311966,0.88301739688034,80,48,68
"Canada",7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015,"NorthAmerica",6.27393110325233,1.15306889674767,80,48,68
"Canada",7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018,"NorthAmerica",6.2819809984263,1.0460190015737,80,48,68
"Chile",6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2016,"LatinAmerica",6.0361445770758,0.668855422924205,23,86,68
"Chile",6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,"LatinAmerica",5.9109480941815,0.533051905818502,23,86,68
"Chile",6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018,"LatinAmerica",5.85019416834024,0.625805831659757,23,86,68
"Chile",6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2015,"LatinAmerica",5.79844484222189,0.87155515777811,23,86,68
"Chile",6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2017,"LatinAmerica",6.11444035234269,0.537559598066254,23,86,68
"China",5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,2017,"EastAsia",5.7420647445972,-0.469064981108426,20,30,24
"China",5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018,"EastAsia",5.54208497300245,-0.296084973002454,20,30,24
"China",5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,"EastAsia",5.62887629563282,-0.437876295632818,20,30,24
"China",5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,2016,"EastAsia",5.62627255595391,-0.381272555953907,20,30,24
"China",5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015,"EastAsia",5.3275368234602,-0.187536823460198,20,30,24
"Colombia",6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2017,"LatinAmerica",5.71918771145283,0.637812162662158,13,80,83
"Colombia",6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,"LatinAmerica",5.53340584073942,0.591594159260581,13,80,83
"Colombia",6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,2016,"LatinAmerica",5.63174040927962,0.84925959072038,13,80,83
"Colombia",6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018,"LatinAmerica",5.47916126409544,0.780838735904558,13,80,83
"Colombia",6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2015,"LatinAmerica",5.38935394300367,1.08764605699633,13,80,83
"Costa Rica",7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,2015,"LatinAmerica",5.47000477955794,1.75599522044206,15,86,NA
"Costa Rica",7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,"LatinAmerica",5.63972521096161,1.52727478903839,15,86,NA
"Costa Rica",7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2017,"LatinAmerica",5.80399142095264,1.27500857523266,15,86,NA
