"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Ecuador",5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,"LatinAmerica",5.27090548544389,0.704094514556114
"Bahrain",5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015,"MiddleEast",6.26844155209596,-0.308441552095962
"Italy",5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2015,"WesternEurope",6.11087190586054,-0.162871905860538
"Bolivia",5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2015,"LatinAmerica",4.87450781716036,1.01549218283964
"Moldova",5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,2015,"Other",4.68606215789919,1.20293784210081
"Paraguay",5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2015,"LatinAmerica",5.04487918348376,0.833120816516237
"Kazakhstan",5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015,"Other",5.83183780360392,0.0231621963960791
"Slovenia",5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,2015,"Other",5.96731905822992,-0.119319058229918
"Lithuania",5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015,"Other",5.88540974749751,-0.0524097474975127
"Nicaragua",5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2015,"LatinAmerica",4.6833933247283,1.1446066752717
"Peru",5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2015,"LatinAmerica",5.34938653893239,0.474613461067608
"Belarus",5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,"Other",5.63521206218483,0.177787937815165
"Poland",5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,2015,"Other",5.83836885063186,-0.0473688506318561
"Malaysia",5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,2015,"Other",5.83687170031648,-0.0668717003164829
"Croatia",5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015,"Other",5.74504648097356,0.0139535190264422
"Libya",5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2015,"Other",5.85117057071983,-0.0971705707198351
"Russia",5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2015,"Other",5.86460152789688,-0.148601527896883
"Jamaica",5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2015,"Other",5.15451832179657,0.55448167820343
"North Cyprus",5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,2015,"Other",6.01739765138764,-0.322397651387637
"Cyprus",5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,2015,"Other",6.01754953620224,-0.32854953620224
"Algeria",5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015,"Other",5.43422505680357,0.170774943196429
"Kosovo",5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2015,"Other",5.13520725251131,0.453792747488687
"Turkmenistan",5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015,"Other",5.47584149600483,0.07215850399517
"Mauritius",5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,2015,"Other",5.58246463585623,-0.10546463585623
"Hong Kong",5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015,"EastAsia",6.40357564143144,-0.929575641431437
"Estonia",5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015,"Other",5.89519546912409,-0.466195469124086
"Indonesia",5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,2015,"Other",5.193335740843,0.205664259157001
"Vietnam",5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2015,"Other",4.76781958381699,0.592180416183012
"Turkey",5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015,"Other",5.69826595807579,-0.366265958075793
"Kyrgyzstan",5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2015,"Other",4.42525423339494,0.860745766605055
"Nigeria",5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2015,"SubSaharanAfrica",4.81596707004618,0.452032929953819
"Bhutan",5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,2015,"Other",5.06781379048884,0.185186209511163
